Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782410577,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782410578,2,,Aggregated,0.000000,0.000000,5,5,22,22,22,22,22,22,22,22,22,4,0,4,8.529774990165606,3.968200006056577,21.553499973379076,187.0
1782410579,4,,Aggregated,0.000000,0.000000,4,5,5,6,6,22,22,22,22,22,22,14,0,4,5.529378561602373,2.788499987218529,21.553499973379076,187.0
1782410580,6,,Aggregated,2.000000,0.000000,5,6,7,7,12,12,22,22,22,22,22,27,0,5,6.131688883114192,2.788499987218529,21.553499973379076,187.0
1782410581,10,,Aggregated,4.000000,0.000000,6,6,7,8,12,18,22,22,22,22,22,42,0,5,6.823590475722172,2.788499987218529,21.553499973379076,187.0
1782410582,10,,Aggregated,6.333333,0.000000,6,7,8,9,12,18,22,22,22,22,22,53,0,6,7.322673587005515,2.788499987218529,21.553499973379076,187.0
1782410583,10,,Aggregated,8.500000,0.000000,6,7,8,10,14,18,22,22,22,22,22,55,0,6,7.441574547820809,2.788499987218529,21.553499973379076,187.0
1782410584,10,,Aggregated,8.500000,0.000000,6,7,8,10,14,18,22,22,22,22,22,55,0,6,7.441574547820809,2.788499987218529,21.553499973379076,187.0
1782410585,10,,Aggregated,8.500000,0.000000,6,7,8,10,14,18,22,22,22,22,22,55,0,6,7.441574547820809,2.788499987218529,21.553499973379076,187.0
1782410586,10,,Aggregated,7.857143,0.000000,6,7,9,10,15,22,22,8800,8800,8800,8800,56,0,6,165.20320178824477,2.788499987218529,8842.092700011563,189.83928571428572
1782410587,10,,Aggregated,6.875000,0.000000,6,7,9,11,17,22,23,8800,8800,8800,8800,60,0,6,154.9790133353478,2.788499987218529,8842.092700011563,189.65
